10.2307/j100006|Brittonia
10.2307/j100950|Journal of the Society of Comparative Legislation
10.2307/j100952|Philosophical Perspectives
10.2307/j100956|International Studies Review
10.2307/j100957|Quarterly Publications of the American Statistical Association
10.2307/j100958|"Arctic, Antarctic, and Alpine Research"
10.2307/j100966|Southeastern Naturalist
10.2307/j100970|Latin American Politics and Society
10.2307/j100974|Background on World Politics
10.2307/j100977|The Journal of the Academy of Management
10.2307/j100981|"Memorandum (Institute of Pacific Relations, American Council)"
10.2307/j100985|Japanese Language and Literature
10.2307/j100987|Ursus
10.2307/j100988|Living
10.2307/j100991|Transactions of the Modern Language Association of America
10.2307/j100994|National Mathematics Magazine
10.2307/j100995|Bulletin of the American Association of Teachers of Italian
10.2307/j100996|The American Journal of Archaeology and of the History of the Fine Arts
10.2307/j100997|The Coordinator
10.2307/j100998|Frontiers in Ecology and the Environment
10.2307/j100999|Transactions of the Anthropological Society of Washington
10.2307/j101003|Bulletin of the American Musicological Society
10.2307/j101004|The Journal of the American Society of Architectural Historians
10.2307/j101005|The Elementary School Teacher
10.2307/j101006|The Course of Study
10.2307/j101010|The American Journal of Police Science
10.2307/j101015|The Journal of Land &amp; Public Utility Economics
10.2307/j101019|The Journal of the Society of Cinematologists
10.2307/j101020|The American Journal of Theology
10.2307/j101025|California Folklore Quarterly
10.2307/j101026|Proceedings of the Colonial Waterbird Group
10.2307/j101028|Trimonthly Report.  Ohio Herpetological Society
10.2307/j101035|Estuaries and Coasts
10.2307/j101037|Sammelbände der Internationalen Musikgesellschaft
10.2307/j101049|The Annual of the American School of Oriental Research in Jerusalem
10.2307/j101051|Advances in Sex Research
10.2307/j101054|Bears:  Their Biology and Management
10.2307/j101055|"Journal of Law, Economics, &amp; Organization"
10.2307/j101056|The Hudson Review
10.2307/j100015|Technometrics
10.2307/j100358|The School Review
10.2307/j100365|Social Problems
10.2307/j100367|Journal of the Society of Architectural Historians
10.2307/j100380|Studies in Art Education
10.2307/j100381|Studies in Conservation
10.2307/j100391|Bulletin of the Torrey Botanical Club
10.2307/j100399|Tijdschrift van de Vereniging voor Nederlandse Muziekgeschiedenis
10.2307/j100622|Mountain Research and Development
10.2307/j100624|Bulletin of the American School of Oriental Research in Jerusalem
10.2307/j100625|MIS Quarterly
10.2307/j100626|Journal of Policy Analysis and Management
10.2307/j100633|Diacritics
10.2307/j100639|Oxford Review of Education
10.2307/j100640|Bulletin (British Society for Middle Eastern Studies)
10.2307/j100641|Journal of Southern African Studies
10.2307/j100643|Early Music
10.2307/j100649|The Journal of the Royal Anthropological Institute of Great Britain and Ireland
10.2307/j100657|The Canadian Journal of Sociology / Cahiers canadiens de sociologie
10.2307/j100660|Marburger Jahrbuch für Kunstwissenschaft
10.2307/j100674|International Family Planning Digest
10.2307/j100686|Mathematics of Operations Research
10.2307/j100689|Journal of the Royal African Society
10.2307/j100697|Newsletter of the Association for Preservation Technology
10.2307/j100726|Marketing Science
10.2307/j100736|Performing Arts Journal
10.2307/j100742|Freshwater Invertebrate Biology
10.2307/j100743|Law and History Review
10.2307/j100746|Yearbook for Traditional Music
10.2307/j100747|The Journal of Business of the University of Chicago
10.2307/j100748|The RAND Journal of Economics
10.2307/j100749|The Analyst
10.2307/j100752|South Central Review
10.2307/j100754|Design Issues
10.2307/j100755|Journal of Law and Religion
10.2307/j100758|Revue belge de Musicologie / Belgisch Tijdschrift voor Muziekwetenschap
10.2307/j100760|Buddhist-Christian Studies
10.2307/j100763|Statistical Science
10.2307/j100767|Quarterly Bulletin (Archives of American Art)
10.2307/j100792|Assemblage
10.2307/j100796|Gender and Society
10.2307/j100798|Mathematical Tables and Other Aids to Computation
10.2307/j100801|Missouri Botanical Garden Annual Report
10.2307/j100806|The Journal of Economic Perspectives
10.2307/j100808|Law &amp; Social Inquiry
10.2307/j100811|"Record of the Museum of Historic Art, Princeton University"
10.2307/j100817|Islamic Law and Society
10.2307/j100819|"Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character"
10.2307/j100825|Cambridge Opera Journal
10.2307/j100834|Philosophical Transactions: Physical Sciences and Engineering
10.2307/j100835|Philosophical Transactions: Biological Sciences
10.2307/j100841|British Journal of Ethnomusicology
10.2307/j100843|Social Scientist
10.2307/j100846|The Plant Cell
10.2307/j100852|Public Productivity &amp; Management Review
10.2307/j100854|Journal of Architectural Education (1984-)
10.2307/j100860|American Slavic and East European Review
10.2307/j100863|The Journal of the Learning Sciences
10.2307/j100864|Ecological Applications
10.2307/j100869|Journal of Public Administration Research and Theory: J-PART
10.2307/j100870|TDR (1988-)
10.2307/j100881|African American Review
10.2307/j100884|Hesperia Supplements
10.2307/j100885|Bulletin of the Business Historical Society
10.2307/j100889|Journal of Farm Economics
10.2307/j100895|Mershon International Studies Review
10.2307/j100896|The Bulletin of Symbolic Logic
10.2307/j100897|Journal of Orthoptera Research
10.2307/j100901|Journal of the Torrey Botanical Society
10.2307/j100902|Journal of Vegetation Science
10.2307/j100906|Bernoulli
10.2307/j100913|The Journal of the Royal Anthropological Institute
10.2307/j100914|"Proceedings: Mathematical, Physical and Engineering Sciences"
10.2307/j100929|Health Economics in Prevention and Care
10.2307/j100930|Risk Management
10.2307/j100931|Supplement to the Journal of the Royal Statistical Society
10.2307/j100935|OR
10.2307/j100942|Transactions (Institute of British Geographers)
10.2307/j100953|Proceedings of the American Political Science Association
10.2307/j100954|The Journal of the American Military Institute
10.2307/j100959|Population Literature
10.2307/j100960|Yearbook of Anthropology
10.2307/j100961|Waterbirds: The International Journal of Waterbird Biology
10.2307/j100963|Grey Room
10.2307/j100965|International Journal of Ethics
10.2307/j100968|News Bulletin (Institute of Pacific Relations)
10.2307/j50000338|Arizona and the West
10.2307/j50000339|Journal of the Southwest
10.2307/j50000350|Ornithological Monographs
10.2307/j50000346|Zeitschrift für philosophische Forschung
10.2307/j50000382|The Journal of the Kilkenny and South-East of Ireland Archaeological Society
10.2307/j50000383|The Journal of the Historical and Archaeological Association of Ireland
10.2307/j50000385|The Journal of the Royal Society of Antiquaries of Ireland
10.2307/j50000327|The Junior High Clearing House (1928-1929)
10.2307/j50000328|Junior-Senior High School Clearing House
10.2307/j50000375|The Irish Monthly
10.2307/j100971|Journal of Social Forces
10.2307/j100972|American Economic Association Quarterly
10.2307/j100973|Philosophical Issues
10.2307/j100975|Slavonic and East European Review. American Series
10.2307/j100976|Slavonic Year-Book. American Series
10.2307/j100982|Journal of the American Geographical and Statistical Society
10.2307/j100984|The Economic Bulletin
10.2307/j100986|Perspectives on Politics
10.2307/j100989|Perspectives on Sexual and Reproductive Health
10.2307/j100993|Mathematics News Letter
10.2307/j101001|Parnassus
10.2307/j101002|College Art Journal
10.2307/j101007|The Elementary School Teacher and Course of Study
10.2307/j101008|Newsletter of the Program on Public Conceptions of Science
10.2307/j101009|The Virginia Law Register
10.2307/j101012|The Journal of African American History
10.2307/j101013|African Issues
10.2307/j101016|The Quarterly of Film Radio and Television
10.2307/j101017|Hollywood Quarterly
10.2307/j101018|Journal of the National Association of Biblical Instructors
10.2307/j101021|The News Bulletin of the Rocky Mountain Modern Language Association
10.2307/j101022|Bulletin of the Cooper Ornithological Club
10.2307/j101024|Educational Research Bulletin
10.2307/j101027|Metropolitan Museum Studies
10.2307/j101029|The American Law Register and Review
10.2307/j101030|The American Law Register (1898-1907)
10.2307/j101032|The Athenian Agora
10.2307/j101034|Music Supervisors' Journal
10.2307/j101039|"Population (English Edition, 2002-)"
10.2307/j101044|Occasional Paper (Garden History Society)
10.2307/j101048|Transactions of the Annual Meetings of the Kansas Academy of Science
10.2307/j101050|Agricultural History Society Papers
10.2307/j101052|The Huntington Library Bulletin
10.2307/j100004|Evolution
10.2307/j100007|Journal of Mammalogy
10.2307/j100011|Biological Bulletin
10.2307/j100043|Administrative Science Quarterly
10.2307/j100050|Agricultural History
10.2307/j100060|The American Journal of Comparative Law
10.2307/j100062|The American Journal of Legal History
10.2307/j100067|The American Journal of Sociology
10.2307/j100079|Bulletin of the American Schools of Oriental Research
10.2307/j100084|Analysis
10.2307/j100086|The Annals of Mathematics
10.2307/j100087|Anthropological Quarterly
10.2307/j100093|Art Journal
10.2307/j100104|Biotropica
10.2307/j100111|The Bryologist
10.2307/j100116|The Canadian Journal of Economics / Revue canadienne d'Economique
10.2307/j100119|Child Development
10.2307/j100127|College English
10.2307/j100140|Economic Development and Cultural Change
10.2307/j100142|The Economic History Review
10.2307/j100145|Educational Researcher
10.2307/j100154|Ethnohistory
10.2307/j100156|Ethnomusicology
10.2307/j100157|The Family Coordinator
10.2307/j100161|Folklore
10.2307/j100167|Greece &amp; Rome
10.2307/j100188|International Journal of American Linguistics
10.2307/j100194|Isis
10.2307/j100197|Journal for the Scientific Study of Religion
10.2307/j100201|The Journal of African History
10.2307/j100205|Journal of Applied Ecology
10.2307/j100206|Journal of Applied Probability
10.2307/j100208|Journal of Biblical Literature
10.2307/j100212|The Journal of Cell Biology
10.2307/j100214|Journal of Contemporary History
10.2307/j100216|Journal of Cuneiform Studies
10.2307/j100218|The Journal of Economic Education
10.2307/j100222|The Journal of Financial and Quantitative Analysis
10.2307/j100232|Journal of Law and Economics
10.2307/j100241|The Journal of Negro Education
10.2307/j100242|The Journal of Negro History
10.2307/j100244|The Journal of Parasitology
10.2307/j100255|The Journal of Southern History
10.2307/j100264|Law &amp; Society Review
10.2307/j100270|Master Drawings
10.2307/j100276|Michigan Law Review
10.2307/j100277|Micropaleontology
10.2307/j100279|The Bulletin of the Midwest Modern Language Association
10.2307/j100281|Military Affairs
10.2307/j100284|Modern Asian Studies
10.2307/j100290|Monumenta Nipponica
10.2307/j100292|The Murrelet
10.2307/j100293|Music &amp; Letters
10.2307/j100295|The Musical Quarterly
10.2307/j100297|Mycologia
10.2307/j100299|The New England Quarterly
10.2307/j100303|NOVEL: A Forum on Fiction
10.2307/j100305|Oceanic Linguistics
10.2307/j100307|Operational Research Quarterly (1970-1977)
10.2307/j100308|Operations Research
10.2307/j100310|Oxford Economic Papers
10.2307/j100312|PS
10.2307/j100313|Pacific Affairs
10.2307/j100315|The Pacific Sociological Review
10.2307/j100319|The Philosophical Quarterly
10.2307/j100320|The Philosophical Review
10.2307/j100322|Philosophy and Phenomenological Research
10.2307/j100324|Philosophy of Science
10.2307/j100325|Phoenix
10.2307/j100326|Phylon (1960-)
10.2307/j100327|Political Science Quarterly
10.2307/j100328|Polity
10.2307/j100329|Population (French Edition)
10.2307/j100330|Population Index
10.2307/j100331|Population Studies
10.2307/j100334|The Public Opinion Quarterly
10.2307/j100337|Radiation Research
10.2307/j100340|Research in African Literatures
10.2307/j100342|Review of Educational Research
10.2307/j100346|Revue de Musicologie
10.2307/j100350|Notes and Records of the Royal Society of London
10.2307/j100354|Russian Review
10.2307/j100371|South Atlantic Bulletin
10.2307/j100373|Southern Economic Journal
10.2307/j100377|Speculum
10.2307/j100382|"Studies in English Literature, 1500-1900"
10.2307/j100384|The Swedish Journal of Economics
10.2307/j100386|TESOL Quarterly
10.2307/j100389|Tempo
10.2307/j100393|Twentieth Century Literature
10.2307/j100398|Die Unterrichtspraxis / Teaching German
10.2307/j100401|Victorian Studies
10.2307/j100402|Vigiliae Christianae
10.2307/j100404|Die Welt des Islams
10.2307/j100409|World Archaeology
10.2307/j100414|Asian Music
10.2307/j100415|Bulletin of the Association for Preservation Technology
10.2307/j100419|Financial Management
10.2307/j100420|International Review of Music Aesthetics and Sociology
10.2307/j100428|Philosophy and Public Affairs
10.2307/j100430|Reviews in American History
10.2307/j100432|The Two-Year College Mathematics Journal
10.2307/j100436|Transactions and Proceedings of the American Philological Association
10.2307/j100439|The Annual of the American Schools of Oriental Research
10.2307/j100440|Anatolian Studies
10.2307/j100442|Architectural History
10.2307/j100444|Biennial Review of Anthropology
10.2307/j100448|The Galpin Society Journal
10.2307/j100450|Harvard Studies in Classical Philology
10.2307/j100452|The Journal of Hellenic Studies
10.2307/j100453|The Journal of Roman Studies
10.2307/j100461|Memoir (The Paleontological Society)
10.2307/j100465|Proceedings of the Royal Musical Association
10.2307/j100466|Biographical Memoirs of Fellows of the Royal Society
10.2307/j100469|"Proceedings of the Royal Society of London. Series B, Biological Sciences"
10.2307/j100470|Sixteenth Century Essays and Studies
10.2307/j100471|Sociological Methodology
10.2307/j100472|Studies in the Renaissance
10.2307/j100473|The Supreme Court Review
10.2307/j100474|Wildlife Monographs
10.2307/j100475|Winterthur Portfolio
10.2307/j100476|Annual Review of Anthropology
10.2307/j100484|Wildlife Society Bulletin
10.2307/j100485|Journal of Anthropological Research
10.2307/j100487|American Journal of Political Science
10.2307/j100489|Critical Inquiry
10.2307/j100490|The Hastings Center Studies
10.2307/j100491|Journal of Field Archaeology
10.2307/j100498|Paleobiology
10.2307/j100499|American Indian Quarterly
10.2307/j100505|Journal of the Operations Research Society of America
10.2307/j100509|Signs
10.2307/j100516|European Journal of Education
10.2307/j100520|Strategic Management Journal
10.2307/j100521|Oxford Journal of Legal Studies
10.2307/j100524|Social Science History
10.2307/j100534|Modern Language Notes
10.2307/j100547|Peabody Journal of Education
10.2307/j100548|"Chinese Literature: Essays, Articles, Reviews (CLEAR)"
10.2307/j100551|International Family Planning Perspectives and Digest
10.2307/j100553|International Security
10.2307/j100557|Latin American Music Review / Revista de Música Latinoamericana
10.2307/j100558|Universal Human Rights
10.2307/j100561|Law and Philosophy
10.2307/j100571|The Hebrew Student
10.2307/j100572|Political Behavior
10.2307/j100576|Crime and Justice
10.2307/j100582|Journal of the American Institute for Conservation
10.2307/j100585|Paleontological Monograph
10.2307/j100592|Music Analysis
10.2307/j100595|Philosophical Transactions of the Royal Society of London. A
10.2307/j100597|"Philosophical Transactions of the Royal Society of London. Series A, Containing Papers of a Mathematical or Physical Character"
10.2307/j100598|"Philosophical Transactions of the Royal Society of London. Series B, Containing Papers of a Biological Character"
10.2307/j100599|Economic Policy
10.2307/j100600|Econometric Theory
10.2307/j100603|Proceedings of the Royal Geographical Society and Monthly Record of Geography
10.2307/j100604|European Sociological Review
10.2307/j100606|Anthropology Today
10.2307/j100609|Proceedings of the Annual Meeting. American Association of Stratigraphic Palynologists
10.2307/j100612|The French Review. Special Issue
10.2307/j100617|TDR (1967-1968)
10.2307/j100623|The Milbank Memorial Fund Quarterly Bulletin
10.2307/j100630|Journal of Crustacean Biology
10.2307/j100645|Social Studies of Science
10.2307/j100646|British Journal of Law and Society
10.2307/j100651|RAIN
10.2307/j100652|Research Intelligence
10.2307/j100659|Poetics Today
10.2307/j100661|The Scandinavian Journal of Economics
10.2307/j100663|Annual Review of Sociology
10.2307/j100666|The Sixteenth Century Journal
10.2307/j100667|Rocky Mountain Review of Language and Literature
10.2307/j100675|The American Catholic Sociological Review
10.2307/j100676|Curriculum Inquiry
10.2307/j100679|Legislative Studies Quarterly
10.2307/j100685|Journal of Economic Abstracts
10.2307/j100691|Osiris
10.2307/j100694|Revue de l'Institut International de Statistique / Review of the International Statistical Institute
10.2307/j100700|Asian Folklore Studies
10.2307/j100701|Folklore Studies
10.2307/j100705|L'Actualité de l'histoire
10.2307/j100709|"Geografiska Annaler. Series B, Human Geography"
10.2307/j100714|International Migration Digest
10.2307/j100716|Medical Anthropology Newsletter
10.2307/j100720|Studia Islamica
10.2307/j100723|Sociological Perspectives
10.2307/j100724|Conflict Resolution
10.2307/j100731|American Music
10.2307/j100735|Sociological Theory
10.2307/j100737|Supreme Court Economic Review
10.2307/j100741|4S Review
10.2307/j100750|Asian Theatre Journal
10.2307/j100751|The Journal of the Midwest Modern Language Association
10.2307/j100768|Sociological Forum
10.2307/j100775|The Phylon Quarterly
10.2307/j100781|Cultural Anthropology
10.2307/j100784|The Milbank Quarterly
10.2307/j100790|The Journal of Decorative and Propaganda Arts
10.2307/j100793|NBER Macroeconomics Annual
10.2307/j100797|Bulletin of the Pennsylvania Museum
10.2307/j100803|Journal of the American Mathematical Society
10.2307/j100812|Middle East Report
10.2307/j100814|Ecography
10.2307/j100827|The Musical Times and Singing Class Circular
10.2307/j100828|Proceedings of the Musical Association
10.2307/j100830|The Journal of the Anthropological Institute of Great Britain and Ireland
10.2307/j100833|Leonardo Music Journal
10.2307/j100836|Proceedings: Mathematical and Physical Sciences
10.2307/j100837|Proceedings: Biological Sciences
10.2307/j100842|Reproductive Health Matters
10.2307/j100844|Bulletin de la Société française de musicologie
10.2307/j100856|Organization Science
10.2307/j100859|Publications of the American Economic Association
10.2307/j100861|The Micropaleontologist
10.2307/j100865|Northwestern Naturalist
10.2307/j100873|Journal of Consumer Psychology
10.2307/j100877|Proceedings of the American Society of Microscopists
10.2307/j100880|The American Journal of Semitic Languages and Literatures
10.2307/j100882|Maine Naturalist
10.2307/j100888|Journal of the Society of Biblical Literature and Exegesis
10.2307/j100899|Northeastern Naturalist
10.2307/j100910|Journal of the Anthropological Society of London
10.2307/j100916|Diversity and Distributions
10.2307/j100918|Transactions of the Ethnological Society of London
10.2307/j100922|Journal of the Royal Statistical Society. Series B (Statistical Methodology)
10.2307/j50000323|Hoosier Folklore Bulletin
10.2307/j50000324|Hoosier Folklore
10.2307/j50000389|Frontiers of Philosophy in China
10.2307/j50000396|International Labor and Working-Class History
10.2307/j50000402|Perspectives on Psychological Science
10.2307/j50000404|International Supplement to the Women's Studies Quarterly
10.2307/j50000397|The Knight Errant
10.2307/j100936|Journal of the British Institute of International Affairs
10.2307/j100945|Problems of the War
10.2307/j100951|PAJ: A Journal of Performance and Art
10.2307/j100962|The University Journal of Business
10.2307/j100964|Trollopian
10.2307/j100969|Public Performance &amp; Management Review
10.2307/j100978|Journal of the American Association of University Teachers of Insurance
10.2307/j100979|Proceedings of the Annual Meeting (American Association of University Teachers of Insurance)
10.2307/j100980|Law and Literature
10.2307/j100983|Journal of the American Geographical Society of New York
10.2307/j100990|Modern Language Association of America. Proceedings
10.2307/j100992|Transactions and Proceedings of the Modern Language Association of America
10.2307/j101014|Proceedings of the Academy of Political Science in the City of New York
10.2307/j101023|Duke Bar Journal
10.2307/j101033|Music Supervisors' Bulletin
10.2307/j101036|Bouwsteenen
10.2307/j101038|The European Journal of Health Economics
10.2307/j101040|The Folk-Lore Record
10.2307/j101041|The Folk-Lore Journal
10.2307/j101042|Leonardo. Supplemental Issue
10.2307/j101043|The Garden History Society Newsletter
10.2307/j101045|Journal of Philosophical Studies
10.2307/j101046|The Florida Buggist
10.2307/j101047|Transactions of the Kansas Academy of Science (1872-1880)
10.2307/j101053|Proceedings of the Bear Workshop (International Conference on Bear Research and Management
10.2307/j101200|American Zoologist
10.2307/j101249|The Auk
10.2307/j101246|The British Journal for the History of Science
10.2307/j101207|Castanea
10.2307/j101243|The Coleopterists Bulletin
10.2307/j101255|Design Quarterly
10.2307/j101225|Forest History
10.2307/j101211|Herpetologica
10.2307/j101212|Journal of Range Management
10.2307/j101216|Science News
10.2307/j101222|The Sociological Quarterly
10.2307/j101209|The South African Archaeological Bulletin
10.2307/j101251|Weed Science
10.2307/j101198|Forschungen und Berichte
10.2307/j101259|Art Institute of Chicago Museum Studies
10.2307/j101238|Jahrbuch der Berliner Museen
10.2307/j101220|Kew Bulletin
10.2307/j101221|Bulletin of the Art Institute of Chicago (1973-1982)
10.2307/j101226|Journal of Forest History
10.2307/j101247|Albion:  A Quarterly Journal Concerned with British Studies
10.2307/j101215|The Science News-Letter
10.2307/j101257|Weeds
10.2307/j101250|Proceedings of the Academy of Natural Sciences of Philadelphia
10.2307/j101236|Third World Quarterly
10.2307/j101242|Journal of Public Policy
10.2307/j101229|Environmental Review: ER
10.2307/j101258|Natural Language &amp; Linguistic Theory
10.2307/j101214|Rangelands
10.2307/j101232|The World Bank Research Observer
10.2307/j101237|Notizblatt des Königl. botanischen Gartens und Museums zu Berlin
10.2307/j101235|The World Bank Economic Review
10.2307/j101208|Rhetoric Society Quarterly
10.2307/j101241|Review of African Political Economy
10.2307/j101223|"Proceedings of the Aristotelian Society, Supplementary Volumes"
10.2307/j101218|"Bulletin of Miscellaneous Information (Royal Gardens, Kew)"
10.2307/j101239|Mitteilungen aus dem botanischen Garten und Museum Berlin-Dahlem
10.2307/j101240|Willdenowia
10.2307/j101248|Arabica
10.2307/j101262|Germanic Museum Bulletin
10.2307/j101199|The Women's Review of Books
10.2307/j101234|Weed Technology
10.2307/j101245|Bulletin of the British Society for the History of Science
10.2307/j101253|Development in Practice
10.2307/j101260|Quality of Life Research
10.2307/j101201|Focus on Gender
10.2307/j101252|Agenda
10.2307/j101227|Forest &amp; Conservation History
10.2307/j101230|Environmental History Review
10.2307/j101210|Memoir (Society of Vertebrate Paleontology)
10.2307/j101261|Health and Human Rights
10.2307/j101231|Environmental History
10.2307/j101202|Gender and Development
10.2307/j101233|"Culture, Health &amp; Sexuality"
10.2307/j101244|Early Science and Medicine
10.2307/j101203|Integrative and Comparative Biology
10.2307/j101213|Rangeland Ecology &amp; Management
10.2307/j101204|Iran &amp; the Caucasus
10.2307/j101254|Everyday Art Quarterly
10.2307/j101219|Bulletin of the Art Institute of Chicago (1907-1951)
10.2307/j101224|The Art Institute of Chicago Quarterly
10.2307/j101217|Calendar of the Art Institute of Chicago
10.2307/j101206|Newsletter: Rhetoric Society of America
10.2307/j101205|The Journal of the Southern Appalachian Botanical Club
10.2307/j101256|The Bulletin of the Museum of Modern Art
10.2307/j101263|Journal of Field Ornithology
10.2307/j101011|Criminal Science Monographs
10.2307/j101333|Mnemosyne
10.2307/j101434|The Journal of the Wilson Ornithological Chapter of the Agassiz Association
10.2307/j101432|The Semi-Annual (Agassiz Association. Department of the Wilson Chapter)
10.2307/j101335|Oecologia
10.2307/j101352|T'oung Pao
10.2307/j101405|Clinical Infectious Diseases
10.2307/j101348|Proceedings of the Aristotelian Society
10.2307/j101404|In Vitro Cellular &amp; Developmental Biology. Plant
10.2307/j101388|In Vitro Cellular &amp; Developmental Biology
10.2307/j101319|Hermes
10.2307/j101438|Ars Islamica
10.2307/j101400|Review of International Political Economy
10.2307/j101328|The Library Quarterly
10.2307/j101441|Memoirs of the American Academy in Rome. Supplementary Volumes
10.2307/j101439|The Montana Magazine of History
10.2307/j101334|Montana: The Magazine of Western History
10.2307/j101318|Georgia Government Review
10.2307/j101406|Harvard University Art Museums Bulletin
10.2307/j50000064|The Journal of Geology
10.2307/j101385|Lecture Notes-Monograph Series
10.2307/j101413|History Workshop Journal
10.2307/j101429|NSF-CBMS Regional Conference Series in Probability and Statistics
10.2307/j101428|Regional Conference Series in Probability and Statistics
10.2307/j50000057|Irish Journal of Earth Sciences
10.2307/j50000048|Grand Street
10.2307/j50000049|International Journal for Philosophy of Religion
10.2307/j50000065|The Arkansas Historical Quarterly
10.2307/j50000004|The Social Service Review
10.2307/j50000013|"State, Culture, and Society"
10.2307/j50000047|World Literature Today
10.2307/j50000020|Women's Studies Newsletter
10.2307/j50000016|Studia Logica: An International Journal for Symbolic Logic
10.2307/j50000038|Annalen der Philosophie und philosophischen Kritik
10.2307/j50000039|Erkenntnis
10.2307/j50000040|The Journal of Unified Science (Erkenntnis)
10.2307/j50000041|Erkenntnis (1975-)
10.2307/j50000052|The Irish Penny Journal 
10.2307/j50000071|"Annual Review of Ecology, Evolution, and Systematics"
10.2307/j101447|The Annals of Applied Statistics
10.2307/j101444|Behaviour
10.2307/j101310|Central European History
10.2307/j50000088|The Crane Bag
10.2307/j50000097|Bulletin of the American Schools of Oriental Research. Supplementary Studies
10.2307/j50000201|Labour History
10.2307/j50000121|Journal of Southeast Asian Studies
10.2307/j50000129|Journal of Business Ethics
10.2307/j50000109|The Brookings Review
10.2307/j50000125|The Journal of Zoo Animal Medicine
10.2307/j50000126|Journal of Zoo and Wildlife Medicine
10.2307/j50000136|Proceedings of the Massachusetts Historical Society
10.2307/j60000131|Knowsley Pamphlet Collection
10.2307/j50000160|Latin American Literary Review
10.2307/j50000138|The North-American Review and Miscellaneous Journal
10.2307/j50000139|The North American Review
10.2307/j101455|Scandinavian Journal of Statistics
10.2307/j50000143|I.C.I.R.I. Bulletin
10.2307/j50000173|Minnesota History Bulletin
10.2307/j50000187|The African Archaeological Review
10.2307/j50000200|Bulletin of the Australian Society for the Study of Labour History
10.2307/j50000168|Ethical Theory and Moral Practice
10.2307/j50000219|Journal of American Ethnic History
10.2307/j50000217|The Journal of the Gilded Age and Progressive Era
10.2307/j50000234|The Journal of the Walters Art Gallery
10.2307/j50000235|The Journal of the Walters Art Museum
10.2307/j50000232|RES: Anthropology and Aesthetics
10.2307/j50000218|OAH Magazine of History
10.2307/j50000246|Jahrbuch der Preuszischen Kunstsammlungen
10.2307/j50000269|Analecta Hibernica
10.2307/j50000271|The Past: The Organ of the Uí Cinsealaigh Historical Society
10.2307/j50000268|Journal of the Royal Asiatic Society
10.2307/j50000254|Improving College and University Teaching
10.2307/j50000255|College Teaching
10.2307/j50000274|291
10.2307/j50000288|"Records of the Columbia Historical Society, Washington, D.C."
10.2307/j50000289|Washington History
10.2307/j50000281|Archives de sociologie des religions
10.2307/j50000282|Archives de sciences sociales des religions
10.2307/j50000276|The American Art Journal (1866-1867)
10.2307/j50000332|Vietnam Perspectives
10.2307/j50000333|Southeast Asian Perspectives
10.2307/j50000334|Asian Affairs
10.2307/j50000319|Vierteljahrshefte für Zeitgeschichte
10.2307/j50000355|All Ireland Review
10.2307/j101321|Iranian Studies
10.2307/j101342|The Virginia Magazine of History and Biography
10.2307/j101350|Flora Neotropica
10.2307/j101356|Science Fiction Studies
10.2307/j101336|Philosophical Studies: An International Journal for Philosophy in the Analytic Tradition
10.2307/j101436|Bulletin of the Fogg Art Museum
10.2307/j101305|Boston Museum Bulletin
10.2307/j101386|Lecture Notes Series
10.2307/j101368|History Workshop
10.2307/j101317|Folia Geobotanica &amp; Phytotaxonomica
10.2307/j101443|The Analysts Journal
10.2307/j50000050|Collectanea Hibernica
10.2307/j50000051|Irish Historical Studies
10.2307/j50000060|The Dublin Penny Journal
10.2307/j50000000|Journal of Marketing &amp; Public Policy
10.2307/j50000001|Journal of Public Policy &amp; Marketing
10.2307/j50000033|Journal of Developmental Reading
10.2307/j50000067|Journal of the Arizona Academy of Science
10.2307/j101449|Public Health Reports (1896-1970)
10.2307/j50000017|Journal of Population Economics
10.2307/j50000028|Sewage Works Journal
10.2307/j101453|The Antioch Review
10.2307/j50000082|Sankhy?: The Indian Journal of Statistics (1933-1960)
10.2307/j50000096|Sankhy?: The Indian Journal of Statistics (2003-)
10.2307/j50000101|Archives of the Chinese Art Society of America
10.2307/j50000190|Bulletins from the Ecological Research Committee
10.2307/j50000123|Cleveland Studies in the History of Art
10.2307/j50000124|Contemporary European History
10.2307/j50000006|Journal of the New York Entomological Society
10.2307/j50000012|Papers on Non-Market Decision Making
10.2307/j50000127|Victorian Periodicals Newsletter
10.2307/j50000128|Victorian Periodicals Review
10.2307/j50000146|Royal Musical Association Research Chronicle
10.2307/j50000144|Field Day Review
10.2307/j50000161|Jewish History
10.2307/j50000158|Journal of Coastal Conservation
10.2307/j50000174|Minnesota History
10.2307/j50000182|L'Homme
10.2307/j50000202|Revista de Historia de América
10.2307/j50000220|James Joyce Broadsheet
10.2307/j50000169|Erato
10.2307/j50000215|Historia Mexicana
10.2307/j50000222|Polish American Studies
10.2307/j50000225|History Ireland
10.2307/j50000226|Studia Hibernica
10.2307/j50000230|The Poetry Ireland Review
10.2307/j50000227|The Maynooth Review / Revieú Mhá Nuad
10.2307/j60200133|Hume Tracts
10.2307/j60200132|Cowen Tracts
10.2307/j50000080|The Dublin Literary Gazette
10.2307/j50000239|The Journal of Experimental Education
10.2307/j50000231|Social Indicators Research
10.2307/j101414|Jahrbuch der Königlich Preussischen Kunstsammlungen
10.2307/j50000245|Ethnomusicology Forum
10.2307/j50000179|U.S. Catholic Historian
10.2307/j50000279|Religion &amp; Literature
